51300005268,dcc,214,203
51300008359,dbc,169,215
51300047256,ecb,19,53
51300097703,fgb,103,201
51300178423,ebe,193,185
51300179600,cda,131,84
51300213686,gcd,242,42
51300230493,gad,28,77
51300288333,cca,105,66
51300294504,aed,150,142
51300311943,ecd,180,141
51300345229,bdd,52,128
51300357898,fdd,127,14
51300363165,abe,258,212
51300374974,abb,215,137
51300387583,dad,130,176
51300411131,cab,20,75
51300414874,fgg,77,198
51300459482,dgc,235,81
51300462952,abd,26,145
51300470517,faf,235,203
51300493083,aga,113,269
51300520833,efd,33,112
51300609187,abc,292,121
51300620367,fcc,249,43
51300630267,afe,216,35
51300631215,caa,120,200
51300642852,cad,227,149
51300693477,geb,143,66
51300722678,bfa,33,65
51300734377,cfc,2,36
51300770327,agb,11,287
51300786574,aec,127,134
51300817092,ade,44,252
51300933364,gcb,275,259
51300933864,aac,200,241
51300948259,gdc,62,179
51300959573,gfe,182,211
51300990926,cfg,128,211
51300999680,fba,221,198
51301002923,fae,244,86
51301039574,ecf,140,152
51301054870,cgd,198,92
51301074762,cbg,147,166
51301108821,aef,38,171
51301118100,dfd,238,125
51301133063,fde,71,254
51301183319,dbg,269,138
51301226837,cge,44,234
51301234483,aee,254,241
51301267185,deb,126,136
51301282379,feb,90,227
51301285911,bac,128,193
51301295118,cce,79,278
51301306984,afg,248,69
51301369062,cba,246,122
51301393356,eeb,14,35
51301434353,aef,256,189
51301475752,fga,64,237
51301489989,ggb,105,30
51301491708,ddd,112,182
51301565271,bba,222,121
51301593764,dbe,216,206
51301623774,eae,106,149
51301650365,cab,232,67
51301666562,ceb,206,226
51301680408,ebg,48,254
51301733143,ecg,113,252
51301769155,egf,193,153
51301776203,fgf,17,171
51301799565,gdd,78,162
51301811824,eeg,28,276
51301820418,gge,257,237
51301827404,gcb,284,248
51301831678,gcb,230,267
51301839155,cfe,45,14
51301869491,eed,2,298
51301915938,gec,75,216
51301922243,bee,53,114
51301941096,gaf,11,167
51301955977,eaa,295,63
51301961136,ead,126,20
51301969828,cba,178,97
51301996614,agf,52,285
51302007485,eac,148,34
51302043308,faa,189,44
51302061383,fea,175,163
51302075492,dcc,2,211
51302086038,cfa,189,292
51302088599,eec,103,40
51302106737,bgf,226,225
51302109344,fgg,284,160
51302118318,bgc,91,207
51302163360,gdb,208,113
51302171952,gfg,262,271
51302185539,ffa,122,248
51302218608,bge,34,259
51302220566,geg,118,176
51302236372,ebf,196,253
51302251109,baa,211,74
51302276552,gfe,274,200
51302291723,dcb,281,268
51302303340,bgg,23,113
51302304455,dae,44,252
51302331393,cae,152,122
51302357479,ffa,27,270
51302374446,ebd,222,269
51302410026,bcd,31,160
51302418322,bda,230,250
51302433493,ffc,208,133
51302439558,cfg,7,196
51302472476,fed,124,247
51302480285,cgc,175,168
51302529234,fca,85,128
51302562044,cce,126,319
51302582373,cff,180,92
51302653545,dcc,74,168
51302655685,dff,187,94
51302660151,agf,148,228
51302711566,dec,183,125
51302741437,bcg,110,138
51302743410,bgd,107,252
51302747060,bgd,39,224
51302753183,dda,105,158
51302791440,dcb,110,238
51302802358,ffa,249,302
51302802418,afe,50,38
51302819158,deb,3,146
51302827068,agg,262,135
51302841364,bfg,287,200
51302892191,bdd,99,130
51302921374,eca,142,49
51302935249,ecf,204,168
51302970422,agc,13,63
51302974309,dfa,163,61
51302981385,fbb,299,131
51302982293,adc,141,84
51302985232,gda,214,94
51303026931,fgd,56,149
51303041957,ceb,255,210
51303051161,fdb,261,161
51303071392,fdg,125,245
51303088918,adf,157,183
51303089859,gff,48,48
51303093051,ded,198,121
51303113269,gce,225,270
51303126450,caa,115,234
51303140257,fba,181,235
51303149599,ddg,12,5
51303156903,abf,104,71
51303172511,eef,6,100
51303182669,cbb,133,220
51303250132,gbc,183,169
51303262029,dge,295,168
51303271917,eaa,238,51
51303296005,gdd,242,137
51303301934,bdf,266,175
51303318963,aba,242,239
51303327310,afe,110,40
51303356842,eaf,107,238
51303363711,bed,215,23
51303369170,bbg,168,54
51303399944,fbg,148,293
51303406353,baf,279,211
51303417343,dcd,262,48
51303433069,fae,168,88
51303478254,dgd,128,160
51303533687,cag,284,75
51303615216,ebc,204,218
51303665726,def,246,240
51303675296,ebb,261,175
51303709460,cga,227,249
51303731532,eag,185,244
51303733196,eca,1,49
51303733209,fae,269,104
51303735113,fag,182,123
51303746169,gad,119,62
51303761259,gec,147,216
51303761751,aga,228,225
51303814177,gbg,79,178
51303826632,deb,123,153
51303913651,fcb,207,101
51303915821,bad,137,186
51303917795,eef,85,97
51303933802,fgc,246,150
51303948254,bac,187,189
51303963912,egd,243,189
51303965370,gce,70,237
51303982883,cbc,77,74
51303987238,agd,123,12
51303991051,fbd,35,12
51304000796,ffd,225,67
51304005755,bcg,16,157
51304030186,dcb,88,209
51304064271,gcg,201,146
51304065516,edf,125,112
51304097863,eec,26,47
51304129743,cgb,30,279
51304192299,egc,12,31
51304222919,dba,103,199
51304255415,ddc,125,288
51304278146,ege,263,289
51304281284,ddd,284,189
51304291108,cfc,149,37
51304315966,ddb,46,25
51304322056,acb,284,277
51304334996,cfb,245,203
51304337094,bda,28,292
51304348361,fdc,183,142
51304399747,ddb,281,28
51304406250,fac,235,180
51304444169,bgd,62,185
51304458299,bff,165,5
51304461333,fee,252,153
51304490384,abb,54,156
51304524924,bfc,132,191
51304547997,bgb,52,187
51304554267,fdf,30,272
51304579646,ede,184,104
51304580920,cde,57,36
51304590747,ead,29,20
51304636788,cdb,235,108
51304641593,fbd,106,12
51304710120,eef,194,95
51304710959,cdf,223,216
51304718225,baf,52,181
51304718794,aff,220,45
51304726576,cdc,19,241
51304740642,ffa,36,253
51304751435,faa,248,46
51304773233,gcd,27,43
51304798953,dcc,128,144
51304799573,gdf,5,144
51304817190,bdc,54,201
51304824777,bge,29,274
51304863436,gff,243,38
51304890547,acb,223,329
51304937535,aca,150,196
51304982466,aec,228,107
51304990543,ebc,264,239
51304999714,bgb,58,211
51305025167,dfb,175,22
51305029844,dcf,84,298
51305053811,bce,252,25
51305146242,cbg,215,182
51305167875,ceb,259,170
51305177562,dbd,1,73
51305188344,fcg,15,171
51305189499,dfa,97,57
51305194004,ggd,20,127
51305209408,gbe,282,116
51305214751,gdc,39,182
51305232832,ebb,270,145
51305259499,cee,282,8
51305271354,cfa,194,233
51305282564,dbe,178,185
51305295456,gef,149,263
51305326321,acg,123,14
51305344984,bbb,128,152
51305391996,ggg,93,81
51305403898,dgf,116,189
51305404471,afg,235,57
51305408092,aee,201,212
51305425534,fcg,95,164
51305445535,dec,91,116
51305457653,cgf,25,221
51305472116,gfb,281,191
51305484268,gdc,212,198
51305523124,dff,277,94
51305541846,bab,210,22
51305549767,cce,33,277
51305605929,bbd,233,255
51305622072,ffb,77,211
51305624646,gfe,248,234
51305629665,cda,120,68
51305631197,ead,240,19
51305640733,age,13,204
51305643500,fbg,133,246
51305649329,gbb,166,264
51305700931,fbe,114,123
51305720898,ggb,143,31
51305732162,ffg,232,162
51305743158,cbg,29,198
51305749514,bgd,222,166
51305754675,efd,286,90
51305787529,dcc,79,120
51305794239,ccf,152,218
51305810166,fbf,224,23
51305823329,fde,271,266
51305844219,aaf,82,210
51305887382,gdd,35,127
51305896284,gef,193,286
51305899622,aea,275,29
51305901165,abc,205,112
51305933922,gee,292,185
51305937360,eeb,238,29
51305970328,gfb,218,208
51305972558,gea,121,210
51305998858,ccb,140,296
51306001523,ebe,256,185
51306004418,adf,195,164
51306028930,gbf,256,107
51306043983,cdb,109,127
51306047826,ccc,81,139
51306074984,ega,63,156
51306090833,edf,24,129
51306126498,bdg,124,233
51306132232,bca,123,7
51306200926,ccg,288,83
51306242804,gbf,52,89
51306248189,fdd,260,13
51306263896,ddf,51,176
